"","Setting","DelayPercentage","AverageDelay","MaximumDelay","PassengerDelayPercentage","AverageWaitingTime","MaximumWaitingTime","PassengersTransported","MaximumQueueLength","AverageQueueLength"
"1","1_55800-3-300-8",0,0,0,77.32,624.46,1293.74,10884.63,135.42,8
"2","1_55800-3-300-10",0,0,0,77.53,624.92,1292.89,10947.84,137.74,8
"3","1_55800-3-300-12",0,0,0,77.59,626.34,1292.32,10898.21,135.26,8
"4","1_55800-3-300-14",0,0,0,77.77,628.01,1306.53,10879.26,133.58,8
"5","1_55800-3-300-16",0,0,0,77.57,624.79,1302.74,10926.16,135.74,8
"6","1_55800-3-300-18",0,0,0,77.46,625.02,1308.05,10957.37,137.58,8
"7","1_55800-3-300-20",0,0,0,77.58,625.25,1297.16,10890.74,137.79,8
"8","1_55800-3-300-22",0,0,0,77.73,627.02,1300.53,10886.63,138.21,8
"9","1_55800-6-300-8",0,0,0,50.02,301.62,829.37,14054.42,73.16,4
"10","1_55800-6-300-10",0,0,0,49.91,300.99,833.74,14079.63,74.53,4
"11","1_55800-6-300-12",0,0,0,49.88,300.85,824.84,14072.74,73.32,3.95
"12","1_55800-6-300-14",0,0,0,49.85,301.01,834.68,14080.16,73.37,4
"13","1_55800-6-300-16",0,0,0,49.89,300.62,831.53,14047.42,76,4
"14","1_55800-6-300-18",0,0,0,49.8,300.69,813.68,14050.74,74,4
"15","1_55800-6-300-20",0,0,0,49.7,300.23,815.21,14014,74.21,4
"16","1_55800-6-300-22",0,0,0,49.81,300.77,821.84,14095.37,75.63,4
"17","1_55800-9-300-8",2.87,73.3,460.42,18.45,200,894.89,13613.32,182.58,10.95
"18","1_55800-9-300-10",0.07,0.19,28.21,16.78,181.64,826.53,14096.63,49.84,2
"19","1_55800-9-300-12",0.02,0.02,6.95,16.91,181.93,808.21,14127.68,48.16,2
"20","1_55800-9-300-14",0.44,1.46,30.26,16.8,181.96,806.32,14030.26,49.47,2
"21","1_55800-9-300-16",0.05,0.15,26.68,16.79,181.38,898.79,14088.84,49.05,2
"22","1_55800-9-300-18",0.19,0.43,33.37,16.79,181.53,870.95,14088.79,49.63,2
"23","1_55800-9-300-20",0,0,0,16.87,181.51,801.63,14132.53,48.16,2
"24","1_55800-9-300-22",0.09,0.31,32.53,16.76,181.79,878.05,14115.16,47.37,2
"25","1_55800-12-300-8",89.69,2738.49,9052.21,41,410.97,1930.11,6326.68,2049.95,154.05
"26","1_55800-12-300-10",0,0.04,13.74,2.7,151.9,790.63,14079.42,42.63,1
"27","1_55800-12-300-12",1.46,13.05,110.05,2.99,152.68,825.32,14110.16,44.74,1.05
"28","1_55800-12-300-14",0,0,0,2.7,151.66,746.26,14117.74,43.32,1
"29","1_55800-12-300-16",0.03,0.06,11.53,2.71,151.92,816.53,14098.16,42.63,1
"30","1_55800-12-300-18",0.03,0.05,10.16,2.63,151.66,801.63,14084.16,42.11,1
"31","1_55800-12-300-20",0.07,0.24,30.37,2.69,152.25,868.37,14097.16,46.11,1
"32","1_55800-12-300-22",0.37,1.61,68.89,2.74,152.3,943.68,14085.74,44.37,1
"33","1_55800-15-300-8",90.68,4333.55,11446.05,50.76,581.64,2405.37,4217.11,2602.11,211.32
"34","1_55800-15-300-10",94.66,6084.55,14813.32,26.04,291.72,1699.89,12452.74,461.84,29.37
"35","1_55800-15-300-12",9.72,463.09,2068.47,2.34,133.46,1001.79,14073.42,46,1.16
"36","1_55800-15-300-14",14.4,631.19,2841.37,3.33,137.05,1195.42,14046.95,59.89,1.21
"37","1_55800-15-300-16",9.82,540.66,1938.05,2.21,130.38,979.11,14054,47.21,1.05
"38","1_55800-15-300-18",16.08,800.88,2975.53,3.08,133.21,1145.21,14081,42.32,1.11
"39","1_55800-15-300-20",1.64,26.21,462.37,0.51,122.85,1033.53,14163.16,36.05,1
"40","1_55800-15-300-22",1.54,16.28,333.68,0.47,122.82,1093.74,14078.53,35.84,1
"41","1_55800-18-300-8",91.21,4888.47,12806.84,45.19,457.27,2421.42,4708.68,2569.68,205.53
"42","1_55800-18-300-10",95.78,9479.06,21953.47,28.87,327.83,1970.63,11097.05,783.26,53.47
"43","1_55800-18-300-12",96.94,10938.4,24770.47,18.87,212.33,1741.47,13654.26,178.32,5.53
"44","1_55800-18-300-14",93.27,9537.16,22690.26,15.36,185.22,2035.05,14030.21,93.84,2.05
"45","1_55800-18-300-16",71.16,6879.94,19945.53,13.09,172.09,2476.68,14044.53,85.58,1.68
"46","1_55800-18-300-18",61.81,5421.98,17760.84,13.2,174.67,2654.58,13944.05,90.47,1.68
"47","1_55800-18-300-20",62.19,5705.74,17518.95,13.15,191.79,3608.42,13967.89,110.95,1.95
"48","1_55800-18-300-22",53.04,4451.17,15832.32,10.19,154.59,3094.89,14030.16,71.63,1.37
"49","1_55800-21-300-8",89.79,5972.52,14108.53,46.83,475.4,2195.37,4331.58,2743.53,228.32
"50","1_55800-21-300-10",94.37,13255.92,29890.32,35.3,358.47,2020.84,10700.68,907.42,64.89
"51","1_55800-21-300-12",96,15585.76,32796.05,18.96,203.13,2137.79,13333.47,303.26,22.79
"52","1_55800-21-300-14",96.6,15922.83,34605.74,16.08,187.05,1554.42,14007.16,92.74,2.11
"53","1_55800-21-300-16",96.09,15292.43,34253.11,14.7,184.23,2101.95,14008.11,84.16,2
"54","1_55800-21-300-18",95.71,14154.13,33362.74,14.87,184.51,3029.47,14066.21,91.89,1.89
"55","1_55800-21-300-20",94.96,14319.09,33258.05,14.67,186.77,3429.21,14028.21,97,2
"56","1_55800-21-300-22",94.08,12874.38,31455.21,15.25,207.89,4113.84,13901,124.95,2.11
"57","1_55800-24-300-8",88.37,7809.67,18614.58,49.54,519.68,2111.74,5953.16,2249.11,189.89
"58","1_55800-24-300-10",94.01,12005.51,25651.63,31.73,327.9,1781.58,9555.63,1283.11,102.84
"59","1_55800-24-300-12",96.89,16078.55,34462.16,22.54,239.95,1906.37,13476.74,201.53,6.89
"60","1_55800-24-300-14",96.6,15976.82,34543.58,15.3,182.84,1863.11,14074.95,84.11,2
"61","1_55800-24-300-16",96.22,15011.13,33502.21,15.3,192.93,2389.58,13946.68,96.05,1.95
"62","1_55800-24-300-18",95.63,14720.86,33800.84,14.38,178.97,2776.11,14111.58,73.42,1.84
"63","1_55800-24-300-20",94.9,13744,32785.26,14.33,185.08,3167.79,13975.42,95.47,2
"64","1_55800-24-300-22",93.74,13534.13,33099.47,16.12,217.23,3831.53,13812.79,180.53,2.74
"65","1_55800-27-300-8",86.13,7335.46,17565.16,49.38,539.58,2400.47,5109.11,2470.58,204.37
"66","1_55800-27-300-10",95.56,12865.01,28429.37,30.98,321.94,1862.21,10762.42,919.53,67.95
"67","1_55800-27-300-12",97.04,16576.37,35189.37,20.07,214.91,1616.79,13880,96.47,2.47
"68","1_55800-27-300-14",96.78,15501.21,33325.32,16.15,189.22,2237.84,14046.11,92.21,2
"69","1_55800-27-300-16",96.2,14870.7,33626.21,14.27,176.19,2219.58,14099.47,74.84,1.95
"70","1_55800-27-300-18",95.72,14451.19,33357.68,14.68,182.15,2318.74,14070.11,92.58,2.05
"71","1_55800-27-300-20",94.78,13790.59,33105.95,14.67,198.38,3340.16,13989.89,130.32,2.21
"72","1_55800-27-300-22",93.95,13426.84,32133.74,14.95,195.04,3863.63,13920.63,130.16,2.05
"73","1_55800-30-300-8",91.74,6266.23,15846.11,50.88,544.13,2395.79,4650.11,2530.11,199.53
"74","1_55800-30-300-10",95.45,13644,30101.42,37.21,397.95,2217.26,10509.26,892.79,58.74
"75","1_55800-30-300-12",97.04,16245,35104.26,21.68,228.46,1901.05,13842.58,114.84,2.58
"76","1_55800-30-300-14",96.51,15520.14,34844.95,18.78,235.73,2217.16,13831.74,117.05,2.84
"77","1_55800-30-300-16",96.12,15362.91,34192.84,16.87,189.7,2424,14011.05,101.11,2
"78","1_55800-30-300-18",95.58,15373.3,34065.84,15.1,185.38,3028.79,14015.11,90.21,2.05
"79","1_55800-30-300-20",94.72,14575.6,33530.05,15.35,197.26,3433.42,13981.16,103.63,2.05
"80","1_55800-30-300-22",93.76,13787.51,33171.95,16.08,207.88,3545.37,13899.58,129.42,2.26
"81","1,5_55800-3-300-8",0,0,0,81.05,663.76,1308.37,12722.26,200.26,13
"82","1,5_55800-3-300-10",0,0,0,81.17,663.17,1312.47,12704.42,197,13
"83","1,5_55800-3-300-12",0,0,0,81.22,665.81,1311.79,12646.53,195.84,13
"84","1,5_55800-3-300-14",0,0,0,81.29,664.91,1309.21,12655.68,199.47,13
"85","1,5_55800-3-300-16",0,0,0,80.96,663.51,1326.05,12684.89,196.21,13
"86","1,5_55800-3-300-18",0,0,0,81.16,664.84,1323.26,12704.68,200.89,13
"87","1,5_55800-3-300-20",0,0,0,81.21,664.72,1302.84,12673.63,199.95,13
"88","1,5_55800-3-300-22",0,0,0,81.19,664.27,1297.16,12711.42,200.16,13
"89","1,5_55800-6-300-8",0,0,0,51.42,306.85,866.58,19517.37,105.21,6
"90","1,5_55800-6-300-10",0,0,0,51.19,306.27,840.95,19488.05,107.26,6
"91","1,5_55800-6-300-12",0,0,0,51.18,306.3,824.84,19558.58,107.68,6
"92","1,5_55800-6-300-14",0,0,0,51.32,306.53,837,19534.11,107.05,6
"93","1,5_55800-6-300-16",0,0,0,51.35,306.68,850.47,19534,106.95,6
"94","1,5_55800-6-300-18",0,0,0,51.26,306.43,857.26,19548.58,106.74,6
"95","1,5_55800-6-300-20",0,0,0,51.3,306.36,840.63,19523.26,111,6
"96","1,5_55800-6-300-22",0,0,0,51.21,306.15,844.21,19495.89,109.42,6
"97","1,5_55800-9-300-8",2.56,74.3,867.26,17.77,192.67,1020.16,20511.16,207.16,8.42
"98","1,5_55800-9-300-10",0,0,0,16.76,181.41,814.32,21128.74,68.58,3
"99","1,5_55800-9-300-12",0,0,0,16.93,181.74,806,21150.37,69.68,3
"100","1,5_55800-9-300-14",0,0,0,16.79,181.48,800.53,21185.47,69.89,3
"101","1,5_55800-9-300-16",0,0,0,16.87,181.79,779.95,21154.53,70.95,3
"102","1,5_55800-9-300-18",0,0,0,16.88,181.74,811,21131,69.74,3
"103","1,5_55800-9-300-20",0,0,0,16.85,181.62,827.95,21166.11,68.58,3
"104","1,5_55800-9-300-22",0,0,0,16.77,181.5,807.11,21119.68,67.89,3
"105","1,5_55800-12-300-8",91.06,3478.97,11028.68,44.75,469.29,2371.84,9395.58,2676.79,185.26
"106","1,5_55800-12-300-10",0.01,0.05,14.89,2.78,152.16,823.16,21193.26,58.47,2
"107","1,5_55800-12-300-12",1.28,6.88,69.84,2.93,152.42,835.95,21149.68,62.68,2.05
"108","1,5_55800-12-300-14",3.03,49.62,188.11,3.23,152.75,899.26,21169.74,62,2.05
"109","1,5_55800-12-300-16",0,0,0,2.67,152.1,818.68,21168.84,58.89,2
"110","1,5_55800-12-300-18",0,0,0,2.73,152.01,793.68,21148.89,59.58,2
"111","1,5_55800-12-300-20",0.04,0.13,25.11,2.67,152.04,806.53,21178.32,60.84,2
"112","1,5_55800-12-300-22",0.1,0.26,30.79,2.71,152.18,928,21113.89,61.05,2.05
"113","1,5_55800-15-300-8",91.34,3212.39,9803.26,43.25,463.33,2362.26,6612.32,3802.16,304.16
"114","1,5_55800-15-300-10",95.06,6122.43,15521.53,29.59,329.42,1938.26,17678.32,618.63,39.11
"115","1,5_55800-15-300-12",23.52,1224.46,4034.58,4.78,139.82,1019.21,21066.63,71.16,2.26
"116","1,5_55800-15-300-14",9.08,470.27,1684.16,1.97,129.78,913.11,21148.16,64.84,2.16
"117","1,5_55800-15-300-16",7.89,374.26,1545.37,1.69,128.08,893.68,21100.05,64.89,2.16
"118","1,5_55800-15-300-18",3.35,56.2,371.58,0.66,124.27,1046.84,21115.84,60.74,2.05
"119","1,5_55800-15-300-20",7.08,412.25,1327.89,1.56,127.82,988.47,21159.32,62.74,2.11
"120","1,5_55800-15-300-22",9.75,544.63,1925.26,1.97,129.6,1248.47,21171.21,56.37,2.05
"121","1,5_55800-18-300-8",92.06,5009.2,12491.58,46.01,493.26,2378.74,7033.84,3689.32,293.16
"122","1,5_55800-18-300-10",94.43,8692.72,20769.79,38.52,472.38,2494.21,12673.26,1965.89,125.95
"123","1,5_55800-18-300-12",96.74,10075.07,23071.37,17.68,215.63,1849.21,20121.37,312,15.89
"124","1,5_55800-18-300-14",92.93,9233.88,22332.58,15.21,181.99,1696.74,20911,128.32,3.11
"125","1,5_55800-18-300-16",67.22,6368.94,18369.26,12.01,163.55,2030.05,20993.95,106.26,2.68
"126","1,5_55800-18-300-18",65.9,5716.44,18268.05,12.08,170.13,2800.89,20952.37,136.42,2.84
"127","1,5_55800-18-300-20",60.54,5581.57,18526.89,12.18,172.55,3021.26,20947.47,131.89,2.95
"128","1,5_55800-18-300-22",50.12,4235.34,15151.74,9.88,160.2,3058.32,20844.53,166.11,2.79
"129","1,5_55800-21-300-8",89.38,7386.57,17888.95,52.98,622.68,2549.32,6704.21,3628.95,291.21
"130","1,5_55800-21-300-10",95.81,14891.57,32862.16,32.23,324.45,2128.95,17008.05,800.26,54.68
"131","1,5_55800-21-300-12",95.42,14824.7,31881.79,21.92,251.6,2048.53,18719.74,644.37,47.21
"132","1,5_55800-21-300-14",96.68,15289.81,33781.68,17.31,198.12,1993.26,20695.21,137.74,3.53
"133","1,5_55800-21-300-16",96.02,15818.48,34525.47,17.3,203.15,2588.42,20703.89,168.37,3.79
"134","1,5_55800-21-300-18",95.61,14899.87,33896.89,14.18,179.29,3100.05,21047.11,118.89,3.11
"135","1,5_55800-21-300-20",94.88,13846.61,32918,13.81,179.84,3239.21,20930.53,141.11,3.21
"136","1,5_55800-21-300-22",93.7,14022.58,33339.05,14.11,189.42,3967.74,20848.63,163.16,3.32
"137","1,5_55800-24-300-8",93.43,9474.4,22634.95,48.81,512.03,2423.32,8635.05,2945.53,207.63
"138","1,5_55800-24-300-10",95.02,14588.17,32512.32,39.01,448.71,2348.21,15020,1164.89,69.42
"139","1,5_55800-24-300-12",97.03,15806.15,33863.42,20.27,214.6,1743.68,20109.37,251.53,8.95
"140","1,5_55800-24-300-14",96.65,16054.33,34190,15.11,181.49,1944.11,20958.84,128.21,3.05
"141","1,5_55800-24-300-16",96.11,15093.83,34151.53,15.08,187.4,2453.16,20890,172.21,3.26
"142","1,5_55800-24-300-18",95.64,15100.64,33711.11,14.76,189.87,3063.37,20833.79,149.89,3.42
"143","1,5_55800-24-300-20",94.93,13908.4,33217.95,14.31,196.65,3105.05,20795.53,153.89,3.42
"144","1,5_55800-24-300-22",94.09,13146.07,31736.11,14.5,195.99,4240.47,20559.89,201.05,3.47
"145","1,5_55800-27-300-8",90.18,6659.57,16405,52.49,599.89,2488.89,5894.37,3854.79,305.89
"146","1,5_55800-27-300-10",91.94,10963.88,23758.84,31.42,326.8,1940,13060.84,2287.21,192.95
"147","1,5_55800-27-300-12",97.08,16638.85,34966.58,18.88,217.06,1840.05,20583.84,155.84,4
"148","1,5_55800-27-300-14",96.67,15682.33,33916.42,17.11,196.97,2551.63,20783.37,141.63,3.53
"149","1,5_55800-27-300-16",96.18,15204.92,33757.47,16.43,190.24,2664.79,20734.84,151.05,3.32
"150","1,5_55800-27-300-18",95.65,14787.89,33596.21,14.64,184.91,2913.21,20948.21,135.21,3.16
"151","1,5_55800-27-300-20",94.84,13892.55,32999.05,14.19,191.96,3662.42,20780.79,180.16,3.42
"152","1,5_55800-27-300-22",93.91,13512.42,32790.53,14.83,191.67,4213.68,20907.74,152,3.16
"153","1,5_55800-30-300-8",91.49,6590.58,16622.84,48.68,530.45,2429.21,6349.95,3782.05,298.89
"154","1,5_55800-30-300-10",96.51,14314.29,33164.84,34.82,385.44,2416.74,16326.95,831.53,48
"155","1,5_55800-30-300-12",96.28,15448.02,32825.95,20.01,220.21,1786.84,19586.84,423.63,28.84
"156","1,5_55800-30-300-14",96.63,16007.09,34335.74,17.84,207.92,2430.11,20676.79,151.26,3.68
"157","1,5_55800-30-300-16",96.12,15569.69,34115.84,15.51,187.15,2769.42,20925.84,128.58,3.16
